date,open,high,low,close,volume
2020-01-02,100.0,100.4864,99.5136,100.0,873890
2020-01-03,99.8234,100.5464,99.2785,100.0015,1348031
2020-01-06,100.1003,101.1508,99.3274,100.3779,900468
2020-01-07,100.2511,100.8708,99.4053,100.025,1504937
2020-01-08,99.9645,101.0281,97.8389,98.9025,1564908
2020-01-09,98.8808,99.3446,97.8877,98.3514,510976
2020-01-10,98.5901,99.7965,95.9284,97.1348,436208
2020-01-13,96.987,97.7303,96.5241,97.2674,747712
2020-01-14,97.395,99.9654,96.4398,99.0101,354740
2020-01-15,98.8969,99.3241,97.9824,98.4097,1779435
2020-01-16,98.6425,99.5363,96.7657,97.6595,1916551
2020-01-17,97.5974,98.952,96.9685,98.3231,416432
2020-01-20,98.3261,99.6362,97.4959,98.806,724200
2020-01-21,99.0296,99.2409,98.7512,98.9625,1915611
2020-01-22,99.0651,99.7988,97.077,97.8108,1275701
2020-01-23,97.5727,98.6714,96.7187,97.8174,969332
2020-01-24,97.6042,99.6025,96.7384,98.7367,487457
2020-01-27,99.0274,100.4257,95.6699,97.0682,901904
2020-01-28,96.7939,97.1444,96.1994,96.5498,818246
2020-01-29,96.4345,97.7623,92.8951,94.223,1126355
2020-01-30,94.4824,95.7023,91.493,92.7129,1370578
2020-01-31,92.4432,93.9515,89.0288,90.5371,997860
2020-02-03,90.3532,90.5798,90.2021,90.4287,581732
2020-02-04,90.2732,91.4724,87.8226,89.0218,1046958
2020-02-05,88.8009,90.6378,87.7444,89.5814,1278616
2020-02-06,89.5663,90.6122,88.9396,89.9856,963174
2020-02-07,90.0355,90.3793,89.605,89.9488,1753284
2020-02-10,89.8507,91.5066,85.3215,86.9774,1463170
2020-02-11,86.7731,87.0707,86.2595,86.5571,1812046
2020-02-12,86.7186,87.0539,86.4274,86.7627,697328
2020-02-13,86.9212,87.8612,86.228,87.1681,1059214
2020-02-14,87.2006,88.1407,84.5548,85.4949,499688
2020-02-17,85.3091,85.8936,84.5963,85.1808,1880382
2020-02-18,85.2022,86.132,83.3122,84.242,982166
2020-02-19,84.3075,84.7872,83.0558,83.5356,1680466
2020-02-20,83.4997,86.1722,82.5263,85.1989,358938
2020-02-21,85.3849,86.3279,83.5322,84.4752,1485528
2020-02-24,84.4194,85.3592,83.8025,84.7422,1005278
2020-02-25,84.7478,87.1266,83.7803,86.1592,1798974
2020-02-26,85.9597,86.6558,85.0025,85.6985,1089807
2020-02-27,85.7312,86.0998,85.4729,85.8416,436092
2020-02-28,85.9788,86.7287,85.5117,86.2617,1611808
2020-03-02,86.3814,86.8826,86.1134,86.6146,1467794
2020-03-03,86.4883,87.5076,84.3175,85.3368,396281
2020-03-04,85.5886,85.9253,85.3869,85.7236,453602
2020-03-05,85.8367,88.8499,84.7056,87.7188,914379
2020-03-06,87.6787,89.0259,84.6661,86.0133,1469108
2020-03-09,85.9694,88.4471,84.8958,87.3735,1605000
2020-03-10,87.52,88.3671,86.9273,87.7744,254464
2020-03-11,87.6036,88.3043,86.5082,87.2088,808859
2020-03-12,87.2819,91.7782,85.4866,89.9829,1881179
2020-03-13,90.1011,91.8708,89.3723,91.142,1705197
2020-03-16,91.151,92.3206,88.6372,89.8068,297478
2020-03-17,90.0079,90.3085,89.8024,90.1029,1493105
2020-03-18,90.086,91.7465,89.3654,91.0259,1702621
2020-03-19,91.0067,91.3829,90.5898,90.9661,275098
2020-03-20,90.8486,92.7447,90.1095,92.0057,888793
2020-03-23,92.2372,92.4711,91.8467,92.0805,893501
2020-03-24,91.979,94.1157,90.9417,93.0783,1606275
2020-03-25,93.1874,96.5017,91.7137,95.028,1579461
2020-03-26,94.9763,95.6482,93.6035,94.2754,1218232
2020-03-27,94.5217,95.041,94.1256,94.6449,1147771
2020-03-30,94.8993,95.4865,93.5803,94.1675,415231
2020-03-31,93.9019,95.129,93.2165,94.4435,1411182
2020-04-01,94.7238,96.0007,91.7811,93.0581,1064947
2020-04-02,93.1166,94.0956,91.487,92.4659,1982048
2020-04-03,92.2295,92.5543,92.0434,92.3682,332795
2020-04-06,92.3666,94.9415,91.0771,93.652,1415459
2020-04-07,93.3988,96.8401,91.7795,95.2208,1128037
2020-04-08,95.2487,96.3535,92.5434,93.6481,1182888
2020-04-09,93.4714,94.351,91.8934,92.773,1988207
2020-04-10,92.6995,94.8437,91.5873,93.7314,1723008
2020-04-13,93.6216,95.2375,89.7296,91.3456,910917
2020-04-14,91.4016,91.8972,90.4381,90.9338,974378
2020-04-15,91.1096,91.6283,90.4724,90.9911,821204
2020-04-16,91.2294,94.137,89.8459,92.7535,218747
2020-04-17,92.6583,94.4787,91.9455,93.7659,737315
2020-04-20,93.8051,94.3541,92.9283,93.4773,690455
2020-04-21,93.2002,93.3359,93.0066,93.1424,1155101
2020-04-22,93.0709,93.7283,92.3058,92.9632,1270508
2020-04-23,93.2202,96.4992,91.7433,95.0223,1966950
2020-04-24,94.805,95.0395,94.3473,94.5818,1906846
2020-04-27,94.7917,95.5856,93.5127,94.3067,1471836
2020-04-28,94.393,95.6206,93.6363,94.8639,1292843
2020-04-29,94.7466,95.0198,94.5404,94.8136,731631
2020-04-30,94.9719,95.5416,94.0982,94.668,710672
2020-05-01,94.5483,95.6491,92.2694,93.3702,1093411
2020-05-04,93.5914,93.9408,93.1378,93.4872,1987773
2020-05-05,93.2532,93.7488,92.5619,93.0576,1551581
2020-05-06,92.8448,96.2695,91.2398,94.6645,920281
2020-05-07,94.8065,96.4771,93.9226,95.5932,1236434
2020-05-08,95.564,96.101,95.1132,95.6502,610046
2020-05-11,95.4479,97.2819,94.7445,96.5786,368915
2020-05-12,96.5864,96.9424,95.8622,96.2183,1195255
2020-05-13,96.1011,99.0152,94.7047,97.6189,749898
2020-05-14,97.6477,98.2341,97.0729,97.6593,819299
2020-05-15,97.8021,99.3928,96.85,98.4407,1718387
2020-05-18,98.6515,100.0154,95.4815,96.8453,400815
2020-05-19,96.5891,98.1843,95.7494,97.3447,1305106
2020-05-20,97.3986,98.8865,93.7825,95.2704,1483007
2020-05-21,95.5469,97.4566,90.8903,92.8,1000956
2020-05-22,92.7776,93.178,92.1588,92.5592,1444629
2020-05-25,92.7089,93.6641,90.6179,91.5731,374296
2020-05-26,91.3518,92.6173,90.6815,91.947,1949935
2020-05-27,92.153,96.829,90.2589,94.9349,1851526
2020-05-28,94.9816,95.7047,93.2644,93.9875,446315
2020-05-29,94.2065,94.7579,92.7693,93.3207,1248491
2020-06-01,93.4815,93.9749,93.2185,93.712,1838972
2020-06-02,93.9196,94.9316,93.446,94.4579,411062
2020-06-03,94.207,95.035,93.5177,94.3456,1634930
2020-06-04,94.4676,95.1354,93.5306,94.1984,1027032
2020-06-05,94.0271,96.3435,92.8821,95.1985,655563
2020-06-08,95.0647,96.7638,94.2497,95.9488,1972649
2020-06-09,95.8479,96.5664,94.0083,94.7269,1062699
