date,open,high,low,close,volume
2020-01-02,100.0,100.3487,99.6513,100.0,468453
2020-01-03,99.9497,100.8144,97.9675,98.8321,1156249
2020-01-06,98.9058,99.5036,97.8477,98.4455,1648267
2020-01-07,98.4842,101.1936,97.4181,100.1275,208925
2020-01-08,100.1257,100.9739,99.5959,100.4442,828079
2020-01-09,100.3837,102.9448,99.127,101.6881,407917
2020-01-10,101.6552,103.3022,100.8564,102.5033,1304279
2020-01-13,102.8084,103.4989,101.0668,101.7573,510879
2020-01-14,101.5083,103.23,100.806,102.5277,1852428
2020-01-15,102.8145,103.6026,101.4044,102.1925,1217224
2020-01-16,102.0414,102.4694,101.423,101.851,1004614
2020-01-17,102.0332,102.5559,101.526,102.0487,1911999
2020-01-20,101.8839,102.9306,99.1304,100.177,1517696
2020-01-21,100.1118,102.9277,98.9498,101.7657,1286066
2020-01-22,101.8955,103.0712,99.8053,100.981,1852009
2020-01-23,101.2382,103.0147,100.5582,102.3347,1097746
2020-01-24,102.2956,103.3544,101.5252,102.5839,1578572
2020-01-27,102.6514,106.3386,100.9706,104.6579,249113
2020-01-28,104.5621,105.3797,103.0478,103.8655,565245
2020-01-29,103.6844,104.3926,102.824,103.5322,1533344
2020-01-30,103.8057,104.7171,103.1366,104.048,309725
2020-01-31,104.3221,106.0383,99.5502,101.2664,1743604
2020-02-03,101.5557,103.2736,100.6835,102.4014,1086075
2020-02-04,102.6952,105.5884,101.5911,104.4843,534114
2020-02-05,104.7369,106.8601,103.9308,106.0539,520889
2020-02-06,106.0926,107.9373,105.299,107.1437,1332277
2020-02-07,107.0211,107.5373,106.5071,107.0233,1251052
2020-02-10,106.9537,110.1315,105.6656,108.8435,1343673
2020-02-11,108.7081,111.5184,107.5948,110.4052,1128586
2020-02-12,110.2844,111.7912,109.5251,111.0319,1827586
2020-02-13,111.2094,111.5048,110.823,111.1184,1213307
2020-02-14,111.4116,111.9928,110.111,110.6922,220906
2020-02-17,110.7386,111.9443,107.8619,109.0676,1629386
2020-02-18,109.2071,111.7925,108.2595,110.8448,928368
2020-02-19,110.6946,112.672,105.9522,107.9297,547587
2020-02-20,108.1855,109.0599,106.6299,107.5043,1229744
2020-02-21,107.5241,108.5183,106.8099,107.8042,521206
2020-02-24,107.9091,110.2775,106.6879,109.0563,1168467
2020-02-25,109.2945,113.0147,107.8633,111.5835,819185
2020-02-26,111.4605,114.5978,109.9322,113.0695,811707
2020-02-27,112.8579,113.2693,112.324,112.7354,961953
2020-02-28,112.7741,114.7611,111.8686,113.8557,1855591
2020-03-02,114.0726,115.7348,110.4782,112.1403,709013
2020-03-03,112.3814,115.8382,110.8037,114.2605,1574635
2020-03-04,113.9521,114.876,113.1931,114.117,1285408
2020-03-05,114.3173,115.4432,112.1073,113.2332,465169
2020-03-06,113.0805,113.8063,111.6797,112.4055,1074282
2020-03-09,112.1398,113.031,111.5076,112.3989,1309648
2020-03-10,112.2618,112.9122,111.2735,111.9239,245415
2020-03-11,111.6699,117.3396,109.6126,115.2823,921007
2020-03-12,115.1947,116.2969,113.2234,114.3255,1030030
2020-03-13,114.3151,115.1561,113.6133,114.4542,1266194
2020-03-16,114.7446,115.2298,114.0913,114.5765,349725
2020-03-17,114.8342,115.7134,113.8201,114.6992,1217453
2020-03-18,114.8728,115.2852,114.4488,114.8612,1144998
2020-03-19,114.5841,114.9731,113.8591,114.248,1559942
2020-03-20,114.214,115.4232,112.2831,113.4924,1807756
2020-03-23,113.3771,114.565,111.1586,112.3465,1824164
2020-03-24,112.6687,114.3594,108.6477,110.3385,325803
